GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpAchatProject,com.esprit.examen.services,OperateurServiceImpl,42,3,2,0,11,1,6,1,5,1
tpAchatProject,com.esprit.examen.services,ProduitServiceImpl,94,7,6,0,19,2,9,2,6,2
tpAchatProject,com.esprit.examen.services,StockServiceImpl,87,91,2,2,17,21,3,7,2,6
tpAchatProject,com.esprit.examen.services,ReglementServiceImpl,31,3,0,0,6,1,5,1,5,1
tpAchatProject,com.esprit.examen.services,SecteurActiviteServiceImpl,42,3,2,0,11,1,6,1,5,1
tpAchatProject,com.esprit.examen.services,FactureServiceImpl,144,87,9,3,26,21,12,4,7,3
tpAchatProject,com.esprit.examen.services,FournisseurServiceImpl,112,7,4,0,26,2,9,2,7,2
tpAchatProject,com.esprit.examen.services,CategorieProduitServiceImpl,41,3,2,0,11,1,6,1,5,1
tpAchatProject,com.esprit.examen.controllers,SecteurActiviteController,35,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,OperateurController,35,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,ProduitRestController,40,3,0,0,10,1,6,1,6,1
tpAchatProject,com.esprit.examen.controllers,CategorieProduitController,35,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,StockRestController,34,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen.controllers,FournisseurRestController,40,3,0,0,10,1,6,1,6,1
tpAchatProject,com.esprit.examen.controllers,FactureRestController,44,3,0,0,12,1,7,1,7,1
tpAchatProject,com.esprit.examen.controllers,ReglementRestController,33,3,0,0,8,1,5,1,5,1
tpAchatProject,com.esprit.examen,TpAchatProjectApplication,5,3,0,0,2,1,1,1,1,1
tpAchatProject,com.esprit.examen,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
tpAchatProject,com.esprit.examen.entities,Fournisseur,104,3,0,0,18,1,16,1,16,1
tpAchatProject,com.esprit.examen.entities,Reglement,90,3,0,0,16,1,14,1,14,1
tpAchatProject,com.esprit.examen.entities,Facture.FactureBuilder,92,30,0,0,0,1,9,3,9,3
tpAchatProject,com.esprit.examen.entities,Facture,91,48,0,0,19,5,16,6,16,6
tpAchatProject,com.esprit.examen.entities,CategorieFournisseur,0,24,0,0,0,2,0,1,0,1
tpAchatProject,com.esprit.examen.entities,Produit,84,55,0,0,18,6,14,8,14,8
tpAchatProject,com.esprit.examen.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
tpAchatProject,com.esprit.examen.entities,CategorieProduit,74,22,0,0,12,3,10,3,10,3
tpAchatProject,com.esprit.examen.entities,Operateur,76,3,0,0,14,1,12,1,12,1
tpAchatProject,com.esprit.examen.entities,DetailFacture.DetailFactureBuilder,57,41,0,0,0,1,4,6,4,6
tpAchatProject,com.esprit.examen.entities,Stock.StockBuilder,37,37,0,0,0,1,2,6,2,6
tpAchatProject,com.esprit.examen.entities,CategorieProduit.CategorieProduitBuilder,32,30,0,0,0,1,2,5,2,5
tpAchatProject,com.esprit.examen.entities,Stock,39,56,0,0,7,14,5,10,5,10
tpAchatProject,com.esprit.examen.entities,DetailFacture,32,48,0,0,4,7,9,8,9,8
tpAchatProject,com.esprit.examen.entities,Produit.ProduitBuilder,67,55,0,0,0,1,4,8,4,8
tpAchatProject,com.esprit.examen.entities,SecteurActivite,62,3,0,0,12,1,10,1,10,1
tpAchatProject,com.esprit.examen.dto,FactureDTO.FactureDTOBuilder,122,0,0,0,1,0,12,0,12,0
tpAchatProject,com.esprit.examen.dto,ProduitDTO,100,0,0,0,13,0,21,0,21,0
tpAchatProject,com.esprit.examen.dto,CategorieProduitDTO.CategorieProduitDTOBuilder,62,0,0,0,1,0,7,0,7,0
tpAchatProject,com.esprit.examen.dto,SecteurActiviteDTO,46,0,0,0,7,0,10,0,10,0
tpAchatProject,com.esprit.examen.dto,StockDTO.StockDTOBuilder,74,0,0,0,1,0,8,0,8,0
tpAchatProject,com.esprit.examen.dto,FactureDTO,100,0,0,0,13,0,21,0,21,0
tpAchatProject,com.esprit.examen.dto,OperateurDTO,56,0,0,0,8,0,12,0,12,0
tpAchatProject,com.esprit.examen.dto,StockDTO,72,0,0,0,14,0,14,0,14,0
tpAchatProject,com.esprit.examen.dto,FournisseurDTO,76,0,0,0,10,0,16,0,16,0
tpAchatProject,com.esprit.examen.dto,ReglementDTO,66,0,0,0,9,0,14,0,14,0
tpAchatProject,com.esprit.examen.dto,ProduitDTO.ProduitDTOBuilder,122,0,0,0,1,0,12,0,12,0
tpAchatProject,com.esprit.examen.dto,CategorieProduitDTO,50,0,0,0,8,0,11,0,11,0
